,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,val1,val2,val3,val4
7361,nm0007400,Vesa Aaltonen,1950,\N,"music_department,actor,soundtrack","tt0122787,tt0100895,tt0111648,tt0103228",tt0122787,tt0100895,tt0111648,tt0103228
7362,nm0007402,Yrjö Aaltonen,1916,1979,"cinematographer,director,writer","tt0055242,tt0121543,tt9524738,tt1830825",tt0055242,tt0121543,tt9524738,tt1830825
7363,nm0007403,Stacy Aam,\N,\N,actor,tt0183573,tt0183573,,,
7364,nm0007404,Aamani,1973,\N,actress,"tt0262608,tt6980546,tt0282554,tt1601792",tt0262608,tt6980546,tt0282554,tt1601792
7365,nm0007405,Hanane Aamely,\N,\N,make_up_department,tt0271547,tt0271547,,,
7366,nm0007406,Angela Aames,1956,1988,actress,"tt0086250,tt0077534,tt0086927,tt0077053",tt0086250,tt0077534,tt0086927,tt0077053
7367,nm0007407,Kevin Aames,\N,\N,director,tt0142361,tt0142361,,,
7368,nm0007408,Marlene Aames,\N,\N,actress,"tt0040884,tt0045941,tt0036868,tt0040160",tt0040884,tt0045941,tt0036868,tt0040160
7369,nm0007410,Kristian Aamodt,\N,\N,actor,tt0021033,tt0021033,,,
7370,nm0007411,Marjorie Aamodt,\N,\N,,tt0117228,tt0117228,,,
7371,nm0007412,Thor Michael Aamodt,1946,\N,actor,"tt0462252,tt0119375,tt0177446,tt2535202",tt0462252,tt0119375,tt0177446,tt2535202
7372,nm0007413,Mathaleen Aamold,1894,1977,actress,"tt0369479,tt0429870,tt0433214,tt0004236",tt0369479,tt0429870,tt0433214,tt0004236
7373,nm0007414,Peter Aanensen,\N,\N,actor,"tt0108709,tt0294024,tt0166034,tt0094924",tt0108709,tt0294024,tt0166034,tt0094924
7374,nm0007415,Adolf Aanesen,\N,\N,actor,"tt0009769,tt0008740",tt0009769,tt0008740,,
7375,nm0007416,Cosmo Aangst,\N,\N,casting_director,tt0202618,tt0202618,,,
7376,nm0007417,Edvin Heimovalta,1902,\N,"composer,soundtrack","tt0026558,tt0025236",tt0026558,tt0025236,,
7377,nm0007418,Aapeli,1915,1967,"writer,actor","tt4680594,tt0412143,tt1452421,tt0075647",tt4680594,tt0412143,tt1452421,tt0075647
7378,nm0007419,Jim Aar,\N,\N,actor,tt0078841,tt0078841,,,
7379,nm0007420,Abraxas Aaran,\N,\N,actor,tt0066206,tt0066206,,,
7380,nm0007421,Steve Aaran,\N,\N,actor,"tt0088134,tt0087837",tt0088134,tt0087837,,
7381,nm0007422,Satyanarayana Aarani,\N,\N,actor,"tt0256719,tt0259535,tt0259392,tt0277983",tt0256719,tt0259535,tt0259392,tt0277983
7382,nm0007423,Frank J. Aard,\N,\N,actor,"tt1018817,tt3526462,tt0122113,tt4224754",tt1018817,tt3526462,tt0122113,tt4224754
7383,nm0007424,Edwin Aardal,1910,1988,"animation_department,visual_effects","tt0057730,tt0068612,tt0048280,tt0032455",tt0057730,tt0068612,tt0048280,tt0032455
7384,nm0007425,Holly Aardal,\N,\N,actress,tt0100291,tt0100291,,,
7385,nm0007426,John Aardal,\N,\N,"camera_department,visual_effects,miscellaneous","tt0084827,tt0119282,tt0103639,tt0230011",tt0084827,tt0119282,tt0103639,tt0230011
7386,nm0007427,Simon Aarden,\N,\N,"camera_department,cinematographer,director","tt0096597,tt0118358,tt0218113,tt0781899",tt0096597,tt0118358,tt0218113,tt0781899
7387,nm0007428,Vastert van Aardenne,1963,\N,actor,"tt1101488,tt0477217,tt0094509,tt0179034",tt1101488,tt0477217,tt0094509,tt0179034
7388,nm0007429,Louise Aarens,\N,\N,"make_up_department,actress,special_effects","tt0099805,tt0097780,tt0103144,tt0104568",tt0099805,tt0097780,tt0103144,tt0104568
7389,nm0007430,Debra Aarens-Cerchi,\N,\N,producer,tt0275229,tt0275229,,,
7390,nm0007431,Bruce Aarestad,\N,\N,actor,tt0202829,tt0202829,,,
7391,nm0007432,Andreas Aarflot,1954,\N,"music_department,composer","tt7074776,tt0092307,tt0497874,tt0113919",tt7074776,tt0092307,tt0497874,tt0113919
7392,nm0007433,H. Barclay Aaris,1972,\N,"special_effects,art_department","tt0382992,tt0418279,tt0145487,tt0377062",tt0382992,tt0418279,tt0145487,tt0377062
7393,nm0007434,Jan Aaris,\N,\N,"special_effects,actor","tt0453467,tt0120461,tt0253754,tt0099810",tt0453467,tt0120461,tt0253754,tt0099810
7394,nm0007435,Jeffrey Aarles,\N,\N,"actor,writer","tt0114648,tt0178161,tt0377134,tt0221554",tt0114648,tt0178161,tt0377134,tt0221554
7395,nm0007436,Kimberleigh Aarn,\N,\N,actress,"tt0096071,tt0162065,tt0100404,tt0099165",tt0096071,tt0162065,tt0100404,tt0099165
